duration,rms,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
1.984,0.012709689,0.18714488636363635,-580.1447,66.30291,-13.111343,12.06204,9.007439,-12.750899,-9.513212,-13.228042,-2.6979744,5.91635,-12.213248,-14.262142,-3.780391,hey_tvs
1.984,0.012155198,0.190231241644385,-598.5176,69.48863,-14.7668915,12.277956,8.403147,-13.236483,-8.35781,-13.903673,-3.9432397,7.0796485,-10.220536,-14.754008,-6.130719,hey_tvs
1.984,0.012322585,0.18588632185828877,-594.56067,66.318985,-9.424996,10.485648,7.603246,-12.671388,-9.96404,-12.202125,-2.548551,6.0019903,-9.439081,-12.9429035,-4.6892037,hey_tvs
1.984,0.013745979,0.13918104528743316,-595.8426,85.536674,-8.851582,15.288224,15.151122,-1.1002752,3.2083454,-7.7981634,-4.2763667,1.8264166,-9.173831,-6.530454,-6.784581,hey_tvs
1.984,0.011786882,0.13830892797459893,-599.89905,82.871544,-3.3878334,16.583565,17.473234,2.8542924,3.5982451,-6.836224,-0.9527059,3.4222643,-10.743281,-9.07673,-8.195211,hey_tvs
1.984,0.011021804,0.1789172167446524,-614.7795,82.27095,-13.209598,13.304568,12.166264,-2.1582022,5.250646,-9.323044,-6.494027,2.6004589,-10.131655,-6.6050296,-4.1625733,hey_tvs
1.984,0.012269183,0.1668041861631016,-605.34924,89.36829,-12.326263,15.050541,15.440273,-1.340804,3.3356647,-10.782743,-5.37055,4.3553004,-9.525375,-5.3871374,-3.0231657,hey_tvs
1.984,0.0066084787,0.1543386530748663,-651.49677,94.54357,-5.5207133,13.442697,13.415269,-4.6060467,-0.34806195,-7.840195,-4.964066,0.97357094,-7.7041836,-6.027029,-6.977001,hey_tvs
1.984,0.01875221,0.146484375,-546.3457,68.54926,-14.967374,18.98451,21.907001,-5.149456,-4.130873,-6.7957745,-2.497849,3.538629,-6.3487864,-7.5452433,-6.4849763,hey_tvs
1.984,0.018100008,0.1930590950868984,-581.51874,76.96947,-24.081833,20.694695,22.51148,-9.63606,-2.8802838,-5.7834086,-3.0324223,4.5395503,-7.647825,-8.530289,-5.778016,hey_tvs
1.984,0.018698687,0.16617229278074866,-555.1739,70.59852,-22.35085,19.644476,23.254055,-8.518324,-5.2344127,-5.878763,-3.9267833,-0.009942774,-8.710745,-8.803629,-7.8130674,hey_tvs
1.984,0.019119313,0.18053872827540107,-583.57684,86.1348,-21.796429,18.606688,21.519878,-8.20696,-4.1995316,-11.069556,-5.684284,5.038105,-11.094781,-13.258976,-6.0437574,hey_tvs
1.984,0.017553832,0.17705025902406418,-552.0979,74.03712,-18.188477,13.729198,19.277943,-3.3475075,-4.9480987,-12.426844,-2.6420534,5.786529,-10.832775,-10.779219,-5.506137,hey_tvs
1.984,0.00827842,0.12383282503342247,-639.1468,72.358635,1.7198173,12.01636,17.610039,-3.7160606,-10.311568,-5.3368087,0.4079638,2.6159883,0.0457647,-3.7646213,-8.95636,hey_tvs
1.984,0.009366942,0.14635642964572193,-627.461,66.11783,-1.7892067,16.473478,16.514935,-4.0539484,-4.811969,-5.7036457,-1.3456806,2.7057395,-3.5072334,-5.8242016,-8.721515,hey_tvs
1.984,0.009093643,0.17827226771390375,-649.1479,74.714836,-7.7431993,14.7999,16.582758,-5.6129384,-4.6631975,-6.275932,-2.2612324,4.09594,-0.9743108,-4.033757,-8.658011,hey_tvs
1.984,0.0089561995,0.12809157754010694,-630.38416,78.12522,7.768009,20.67278,19.211576,-1.9117986,-4.065664,-5.4243107,-1.8080692,2.8548238,-2.548267,-7.166775,-11.164578,hey_tvs
